atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_inhalesolution,DDD_N,DDD_O,DDD_P,unit_inhalesolution,unit_N,unit_O,unit_P
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA01,dicoumarol,NA,NA,NA,0.1,NA,NA,NA,g,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA02,phenindione,NA,NA,NA,0.1,NA,NA,NA,g,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA03,warfarin,NA,NA,NA,7.5,7.5,NA,NA,mg,mg
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA04,phenprocoumon,NA,NA,NA,3,NA,NA,NA,mg,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA07,acenocoumarol,NA,NA,NA,5,NA,NA,NA,mg,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA08,ethyl biscoumacetate,NA,NA,NA,0.6,NA,NA,NA,g,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA09,clorindione,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA10,diphenadione,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA11,tioclomarol,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,The DDDs are based on prophylaxis of thrombosis.,B01AA12,fluindione,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB01,heparin,NA,NA,NA,NA,10,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB02,antithrombin III,NA,NA,NA,NA,2.1,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB04,dalteparin,anti Xa,NA,NA,NA,2.5,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB05,enoxaparin,anti Xa,NA,NA,NA,2,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB06,nadroparin,anti Xa,NA,NA,NA,2.85,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB07,parnaparin,anti Xa,NA,NA,NA,3.2,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB08,reviparin,anti Xa,NA,NA,NA,1.43,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB09,danaparoid,anti Xa,NA,NA,NA,1.5,NA,NA,NA,TU
