atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_O,DDD_oral_aerosol,DDD_P,DDD_R,DDD_SL,DDD_TD,unit_O,unit_oral_aerosol,unit_P,unit_R,unit_SL,unit_TD
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA01,acetyldigitoxin,NA,0.2,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA02,acetyldigoxin,NA,0.5,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA03,digitalis leaves,NA,0.1,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA04,digitoxin,NA,0.1,NA,0.1,NA,NA,NA,mg,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA05,digoxin,NA,0.25,NA,0.25,NA,NA,NA,mg,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA06,lanatoside C,NA,1,NA,NA,1,NA,NA,mg,NA,NA,mg,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA07,deslanoside,Acute treatment,NA,NA,1,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA08,metildigoxin,NA,0.2,NA,0.2,NA,NA,NA,mg,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA09,gitoformate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AA52,"acetyldigoxin, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AB,Scilla glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AB01,proscillaridin,NA,0.75,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AB,Scilla glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AB51,"proscillaridin, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AC,Strophanthus glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AC01,g-strophanthin,NA,NA,NA,0.25,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AC,Strophanthus glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AC03,cymarin,NA,2.5,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AX,Other cardiac glycosides,The DDDs are based on the average maintenance dose for the treatment of cardiac failure.  Exception: the DDD for deslanoside is for acute treatment.,C01AX02,peruvoside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA01,quinidine,NA,1.2,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA02,procainamide,NA,3,NA,3,NA,NA,NA,g,NA,g,NA,NA,NA
