atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_N,DDD_O,DDD_P,DDD_SL,unit_N,unit_O,unit_P,unit_SL
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AA,ACTH,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of corticotrophin is based on therapy, whereas that of tetracosactide is based on use as a diagnostic agent.",H01AA01,corticotropin,NA,NA,NA,25,NA,NA,NA,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AA,ACTH,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of corticotrophin is based on therapy, whereas that of tetracosactide is based on use as a diagnostic agent.",H01AA02,tetracosactide,NA,NA,NA,0.25,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AB,Thyrotropin,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD for biological thyrotropin classified in H01AB01 is 5 U.,H01AB01,thyrotropin alfa,NA,NA,NA,0.9,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC01,somatropin,NA,NA,NA,2,NA,NA,NA,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC02,somatrem,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC03,mecasermin,NA,NA,NA,2,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC04,sermorelin,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC05,mecasermin rinfabate,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC06,tesamorelin,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC07,somapacitan,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC08,somatrogon,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of growth retardation in children with a body weight of 25 kg.,H01AC09,lonapegsomatropin,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AX,Other anterior pituitary lobe hormones and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H01AX01,pegvisomant,NA,NA,NA,10,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BA,Vasopressin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of diabetes insipidus.The DDD for terlipressin (as acetate) is based on treatment of bleeding oesophageal varices.,H01BA01,vasopressin (argipressin),NA,NA,NA,40,NA,NA,NA,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BA,Vasopressin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of diabetes insipidus.The DDD for terlipressin (as acetate) is based on treatment of bleeding oesophageal varices.,H01BA02,desmopressin,base,NA,NA,NA,0.24,NA,NA,NA,mg
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BA,Vasopressin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of diabetes insipidus.The DDD for terlipressin (as acetate) is based on treatment of bleeding oesophageal varices.,H01BA02,desmopressin,NA,25,0.4,4,NA,mcg,mg,mcg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BA,Vasopressin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of diabetes insipidus.The DDD for terlipressin (as acetate) is based on treatment of bleeding oesophageal varices.,H01BA03,lypressin,NA,20,NA,20,NA,U,NA,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BA,Vasopressin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of diabetes insipidus.The DDD for terlipressin (as acetate) is based on treatment of bleeding oesophageal varices.,H01BA04,terlipressin,NA,NA,NA,12,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BA,Vasopressin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on the treatment of diabetes insipidus.The DDD for terlipressin (as acetate) is based on treatment of bleeding oesophageal varices.,H01BA05,ornipressin,NA,NA,NA,5,NA,NA,NA,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BB,Oxytocin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on use in delivery.,H01BB01,demoxytocin,NA,NA,100,NA,NA,NA,U,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BB,Oxytocin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on use in delivery.,H01BB02,oxytocin,NA,15,200,15,NA,U,U,U,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BB,Oxytocin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on use in delivery.,H01BB03,carbetocin,NA,NA,NA,0.1,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CA,Gonadotropin-releasing hormones,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of nafarelin is based on the treatment of endometriosis.  No other DDDs have been assigned, due to the highly variable dosages used.",H01CA01,gonadorelin,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CA,Gonadotropin-releasing hormones,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of nafarelin is based on the treatment of endometriosis.  No other DDDs have been assigned, due to the highly variable dosages used.",H01CA02,nafarelin,NA,0.4,NA,NA,NA,mg,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CB,Somatostatin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of octreotide and lanreotide are based on the treatment of acromegaly.,H01CB01,somatostatin,NA,NA,NA,6,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CB,Somatostatin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of octreotide and lanreotide are based on the treatment of acromegaly.,H01CB02,octreotide,NA,NA,NA,0.7,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CB,Somatostatin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of octreotide and lanreotide are based on the treatment of acromegaly.,H01CB03,lanreotide,NA,NA,NA,3,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CB,Somatostatin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of octreotide and lanreotide are based on the treatment of acromegaly.,H01CB04,vapreotide,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CB,Somatostatin and analogues,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs of octreotide and lanreotide are based on the treatment of acromegaly.,H01CB05,pasireotide,NA,NA,NA,1.2,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CC,Anti-gonadotropin-releasing hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H01CC01,ganirelix,NA,NA,NA,0.25,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CC,Anti-gonadotropin-releasing hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H01CC02,cetrorelix,NA,NA,NA,0.25,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CC,Anti-gonadotropin-releasing hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H01CC03,elagolix,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CC,Anti-gonadotropin-releasing hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H01CC04,linzagolix,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CC,Anti-gonadotropin-releasing hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H01CC53,"elagolix, estradiol and norethisterone",NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CC,Anti-gonadotropin-releasing hormones,The DDDs are generally based on the treatment or diagnosis of endocrine disorders.,H01CC54,"relugolix, estradiol and norethisterone",NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AA,Mineralocorticoids,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on substitution therapy in Addisons disease.,H02AA01,aldosterone,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AA,Mineralocorticoids,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on substitution therapy in Addisons disease.,H02AA02,fludrocortisone,NA,NA,0.1,NA,NA,NA,mg,NA,NA
