atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_O,DDD_P,DDD_R,unit_O,unit_P,unit_R
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AA,Butylpyrazolidines,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AA01,phenylbutazone,NA,0.3,0.3,0.3,g,g,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AA,Butylpyrazolidines,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AA02,mofebutazone,NA,0.75,0.75,NA,g,g,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AA,Butylpyrazolidines,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AA03,oxyphenbutazone,NA,0.3,NA,0.3,g,NA,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AA,Butylpyrazolidines,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AA05,clofezone,NA,0.6,NA,0.6,g,NA,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AA,Butylpyrazolidines,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AA06,kebuzone,NA,NA,NA,NA,NA,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB01,indometacin,NA,0.1,0.1,0.1,g,g,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB02,sulindac,NA,0.4,0.4,0.4,g,g,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB03,tolmetin,NA,0.7,NA,0.7,g,NA,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB04,zomepirac,NA,0.3,NA,NA,g,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB05,diclofenac,NA,0.1,0.1,0.1,g,g,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB06,alclofenac,NA,1.25,NA,1.25,g,NA,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB07,bumadizone,NA,0.4,NA,NA,g,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB08,etodolac,NA,0.4,NA,NA,g,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB09,lonazolac,NA,0.6,NA,NA,g,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB10,fentiazac,NA,NA,NA,NA,NA,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB11,acemetacin,NA,0.12,NA,NA,g,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB12,difenpiramide,NA,NA,NA,NA,NA,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB13,oxametacin,NA,NA,NA,NA,NA,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB14,proglumetacin,NA,NA,NA,NA,NA,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB15,ketorolac,NA,30,30,NA,mg,mg,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB16,aceclofenac,NA,0.2,NA,NA,g,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB17,bufexamac,NA,NA,NA,NA,NA,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB51,"indometacin, combinations",Refers to indometacin,0.1,NA,0.1,g,NA,g
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH).",M01AB55,"diclofenac, combinations",Refers to diclofenac,0.1,NA,NA,g,NA,NA
M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AC,Oxicams,"The DDDs are based on the treatment of rheumatoid arthritis, except for the coxibs (M01AH). The DDD for meloxicam is based on the treatment of osteoarthritis.",M01AC01,piroxicam,NA,20,20,20,mg,mg,mg
