atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_O,DDD_P,DDD_R,unit_O,unit_P,unit_R
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AA,Hydroxyquinoline derivatives,NA,P01AA01,broxyquinoline,NA,NA,NA,NA,NA,NA,NA
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AA,Hydroxyquinoline derivatives,NA,P01AA02,clioquinol,NA,NA,NA,NA,NA,NA,NA
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AA,Hydroxyquinoline derivatives,NA,P01AA04,chlorquinaldol,NA,NA,NA,NA,NA,NA,NA
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AA,Hydroxyquinoline derivatives,NA,P01AA05,tilbroquinol,NA,NA,NA,NA,NA,NA,NA
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AA,Hydroxyquinoline derivatives,NA,P01AA30,tilbroquinol and tiliquinol,NA,NA,NA,NA,NA,NA,NA
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AA,Hydroxyquinoline derivatives,NA,P01AA52,"clioquinol, combinations",NA,NA,NA,NA,NA,NA,NA
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives,"The DDDs are based on the treatment of amoebiasis, giardiasis and trichomoniasis.  The duration of the treatment periods is not taken into consideration.",P01AB01,metronidazole,NA,2,NA,2,g,NA,g
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives,"The DDDs are based on the treatment of amoebiasis, giardiasis and trichomoniasis.  The duration of the treatment periods is not taken into consideration.",P01AB02,tinidazole,NA,2,NA,2,g,NA,g
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives,"The DDDs are based on the treatment of amoebiasis, giardiasis and trichomoniasis.  The duration of the treatment periods is not taken into consideration.",P01AB03,ornidazole,NA,1.5,NA,NA,g,NA,NA
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives,"The DDDs are based on the treatment of amoebiasis, giardiasis and trichomoniasis.  The duration of the treatment periods is not taken into consideration.",P01AB04,azanidazole,NA,NA,NA,NA,NA,NA,NA
