atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_inhaleaerosol,DDD_inhalepowder,DDD_inhalesolution,DDD_instillsolution,DDD_N,DDD_O,DDD_P,DDD_R,unit_inhaleaerosol,unit_inhalepowder,unit_inhalesolution,unit_instillsolution,unit_N,unit_O,unit_P,unit_R
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA02,cyclopentamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA03,ephedrine,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA04,phenylephrine,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA05,oxymetazoline,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA06,tetryzoline,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA07,xylometazoline,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA08,naphazoline,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA09,tramazoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA10,metizoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA11,tuaminoheptane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA12,fenoxazoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA13,tymazoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
