atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_lamella,DDD_O,DDD_ointment,DDD_P,unit_lamella,unit_O,unit_ointment,unit_P
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA01,chloramphenicol,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA02,chlortetracycline,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA03,neomycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA04,oxytetracycline,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA05,tyrothricin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA07,framycetin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA09,tetracycline,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA10,natamycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA11,gentamicin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA12,tobramycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
