atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_O,DDD_P,unit_O,unit_P
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA01,feather,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA02,grass pollen,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA03,house dust mites,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA04,mould fungus and yeast fungus,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA05,tree pollen,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA07,insects,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA08,food,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA09,textiles,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA10,flowers,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA11,animals,NA,NA,NA,NA,NA
V,VARIOUS,V01,ALLERGENS,V01A,ALLERGENS,V01AA,Allergen extracts,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V01AA20,various,NA,NA,NA,NA,NA
V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V03AB01,ipecacuanha,NA,NA,NA,NA,NA
V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V03AB02,nalorphine,NA,NA,NA,NA,NA
V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V03AB03,edetates,NA,NA,NA,NA,NA
V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V03AB04,pralidoxime,NA,NA,NA,NA,NA
V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V03AB05,prednisolone and promethazine,NA,NA,NA,NA,NA
V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,"This group comprises many different types of drugs, and assigning DDDs are difficult.  Very few DDDs are assigned in this group.",V03AB06,thiosulfate,NA,NA,NA,NA,NA
